expiry,T,days_to_expiry,cp,strike,price,spread,price_source,quote_age_days,volume,openInterest,spot,quoted_spot,forward,discount,r,q,fwd_method,n_parity_pairs,log_moneyness,std_moneyness,iv,contractSymbol,snapshot_utc,model_price,price_error,model_iv,iv_error
2026-08-31,0.03561643835616438,13,C,799.0,0.16499999999999998,0.03,mid,1.7717587943402777,8.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.03517582242879603,1.6023130901791207,0.09858321453266096,XSP260831C00799000,2026-08-18T08:43:39+00:00,0.7976461105327104,0.6326461105327104,0.1364956153689446,0.03791240083628365
2026-08-31,0.03561643835616438,13,C,800.0,0.14,0.01999999999999999,mid,1.1374648128587963,63.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.03642660433044858,1.659288139391797,0.09875981377970375,XSP260831C00800000,2026-08-18T08:43:39+00:00,0.7189341962973259,0.5789341962973259,0.1365630088219454,0.03780319504224164
2026-08-31,0.03561643835616438,13,C,801.0,0.13,0.020000000000000018,mid,1.6809601832291665,1.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.03767582373088064,1.7161920142583984,0.10038575342249663,XSP260831C00801000,2026-08-18T08:43:39+00:00,0.6470438482429728,0.5170438482429728,0.13663224974476215,0.03624649632226552
2026-08-31,0.03561643835616438,13,C,802.0,0.11,0.01999999999999999,mid,1.7887842573032406,1.0,0.0,770.3342101802784,778.5800170898438,771.3830892177326,0.9975149026030734,0.06986072980910717,0.0316574864432284,parity (regression),56,0.03892348452903582,1.7730248923818341,0.10053742187076817,XSP260831C00802000,2026-08-18T08:43:39+00:00,0.5814956687389952,0.4714956687389952,0.13670330925708554,0.036165887386317375
2026-09-08,0.057534246575342465,21,C,725.0,48.05,0.5800000000000054,mid,7.756874535081018,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.0626508915898566,-2.200537356995418,0.1877274663516782,XSP260908C00725000,2026-08-18T08:43:39+00:00,47.05540541047935,-0.994594589520645,0.13658381963793206,-0.05114364671374613
2026-09-08,0.057534246575342465,21,C,730.0,43.29,0.519999999999996,mid,7.756874535081018,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.05577801230209465,-1.9591357226523742,0.1796617295498464,XSP260908C00730000,2026-08-18T08:43:39+00:00,42.24493126816526,-1.0450687318347391,0.1363807197688881,-0.04328100978095831
2026-09-08,0.057534246575342465,21,C,735.0,38.59,0.5,mid,8.738899998043982,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.04895204723169476,-1.719381893875375,0.1717294042661691,XSP260908C00735000,2026-08-18T08:43:39+00:00,37.53339030402606,-1.0566096959739468,0.1362020544921512,-0.03552734977401789
2026-09-08,0.057534246575342465,21,C,740.0,33.965,0.47000000000000597,mid,2.2337148128587963,1.0,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.04217236024631597,-1.4812535272795977,0.16385561758115713,XSP260908C00740000,2026-08-18T08:43:39+00:00,32.958794153365375,-1.0062058466346286,0.13604805153597144,-0.027807566045185694
2026-09-08,0.057534246575342465,21,C,744.0,30.34,0.4399999999999977,mid,5.739490275821759,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.03678151161143954,-1.291906440495697,0.15773483079809092,XSP260908C00744000,2026-08-18T08:43:39+00:00,29.42742907668128,-0.9125709233187216,0.13594270461816366,-0.021792126179927263
2026-09-08,0.057534246575342465,21,C,745.0,29.625,0.7899999999999991,mid,6.340589812858796,6.0,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.03543832806497186,-1.2447287308686201,0.1600492171220312,XSP260908C00745000,2026-08-18T08:43:39+00:00,28.565601489796677,-1.059398510203323,0.13591885311285784,-0.024130364009173372
